SL,English,Bangla,SRC
1,Comets with a period less than 20 years are typically called Jupiter-family comets,পর্যায়কাল ২০ বছরের কম হলে তাদেরকে বলে বৃহস্পতি-পরিবারের ধূমকেতু।,
2,"In essence, all comets are clumps of ice and dust.",ধূমকেতুরা মূলত ধুলি ও বরফ দিয়ে গড়া।,
3,Different types of comets are classified based on their flight path through space.,মহাকাশে চলার পথের ওপর নির্ভর করে ধূমকেতুকে বিভিন্ন ভাগে ভাগ করা হয়।,
4,Comets with a period less than 20 years are typically called Jupiter-family comets.,পর্যায়কাল ২০ বছরের কম হলে তাদেরকে বলে বৃহস্পতি-পরিবারের ধূমকেতু।,
5,"Saturn’s relatively fast rotation period of 10 hours and 40 minutes makes the planet’s diameter at the poles 11,800 km shorter than at the equator. Just translate","শনি গ্রহের ঘূর্ণন গতি তুলনামূলকভাবে বেশ দ্রুত। এটি মাত্র ১০ ঘণ্টা ৪০ মিনিটে একবার নিজের অক্ষের সাপেক্ষে আবর্তন করে। এই দ্রুত ঘূর্ণনের কারণে গ্রহটির মেরু অঞ্চলের ব্যাস বিষুবীয় অঞ্চলের (equator) ব্যাসের চেয়ে ১১,৮০০ কিলোমিটার কম।",
6,The first-ever image of a black hole revealed in 2019 shows the features caused by a super massive black hole at the centre of galaxy M87. The black hole itself has a mass of approximately 6.5 billion times that of the Sun.,২০১৯ সালে ইতিহাসে প্রথমবারের মতো একটি ব্ল্যাক হোল বা কৃষ্ণগহ্বরের ছবি প্রকাশ করা হয়। এই ছবিতে এম৮৭ (M87) ছায়াপথের কেন্দ্রে থাকা একটি সুপারম্যাসিভ বা অতিভারী ব্ল্যাক হোলের বৈশিষ্ট্যগুলো দেখানো হয়। ব্ল্যাক হোলটির ভর আমাদের সূর্যের ভরের চেয়ে প্রায় ৬৫০ কোটি গুণ বেশি।,
7,$4.3 billion ,৪৩০ কোটি ডলার,
8,exoplanet,বহির্গ্রহ,https://www.facebook.com/photo/?fbid=122118736316775978
9,This wo;; conduct a comprehensive survey of exoplanets,এর পাশাপাশি এটি বহির্গ্রহ সম্পর্কে পূর্ণাঙ্গ তথ্য সংগ্রহ করবে। ,
10,Coronagraph technology is used on the Nancy Grace Roman Space Telescope. The first space telescope to use actively deformable mirrors and wavefront control to suppress starlight.,,
11,"From Earth, the belt sounded like a deadly zone",পৃথিবী থেকে এই বেল্টকে মারাত্মক এক বিপজ্জনক এলাকা মনে হতো।,
12,"If that region was crowded enough, one tiny impact could have ended the mission long before Voyager saw its first planet.",এই অঞ্চলটি অনেক বেশি ঘন হলে গ্রহাণুর একটি ছোট আঘাতই ভয়েজারকে শেষ করে দিতে পারত। কোনো গ্রহ দেখার অনেক আগেই সমাপ্তি ঘটত অভিযানের।,
13,Our familiar 24-hour day and 365-day year are not inherent properties of Earth,পৃথিবীর ২৪ ঘণ্টার দিনের সাথেই আমরা অভ্যস্ত। বছর ঘুরে ৩৬৫ দিনে। কিন্তু এর কোনোটিই পৃথিবীর নিজস্ব কোনো স্থায়ী বৈশিষ্ট্য নয়।,
14,A single rotation—one day—lasted a mere 6 to 8 hours.,একটি ঘূর্ণন অর্থাৎ একদিন পূর্ণ হতে সময় লাগত মাত্র ৬ থেকে ৮ ঘণ্টা।,
15,Neutron stars form when massive stars collapse under their own gravity.,ভারী নক্ষত্ররা নিজস্ব মহাকর্ষ বলের কারণে সংকুচিত হয়ে নিউট্রন তারা তৈরি করে।,
16, stellar remnant,নাক্ষত্রিক ধ্বংসাবশেষ ,
17,"But now we must return to Mach’s principle. If Newton’s bucket is stationary and the rest of the universe is spinning around it, what then causes the centrifugal force that drives the water up the inside?",তবে মাখের নীতিটা আবার একটু দেখা যাক। ধরলাম নিউটনের বালতি স্থির। বাকি মহাবিশ্ব ঘুরছে এর চারপাশে। কিন্তু বালতির পানি তো ওপরে উঠছে। সেটা হওয়ার জন্য কেন্দ্রবিমুখী বলটা কোথা থেকে এল?,
18,interstellar space,আন্তঃনক্ষত্র স্থান,
19,Voyager 1 is now over 25 BILLION kilometers away from Earth,ভয়েজার ১ বর্তমানে পৃথিবী থেকে আড়াই হাজার কিলোমিটারেরও বেশি দূরে অবস্থান করছে। ,
20,the farthest any human-made object has ever traveled,,
21,Launched way back in 1977,১৯৭৭ সালে উৎক্ষেপিত,
22,this tiny spacecraft has been flying non-stop for nearly 49 years,এই ছোট মহাকাশযানটি প্রায় ৪৯ বছর যাবত অবিরাম ওড়ছে,
23,"It has already left our solar system's protective bubble, entering true interstellar space.",এটি ইতিমধ্যেই আমাদের সৌরজগতের সুরক্ষাবলয় পেরিয়ে সত্যিকারের আন্তঃনাক্ষত্রিক স্থানে প্রবেশ করেছে।,
24,"a radio signal from Earth, traveling at the speed of light, takes over 23 HOURS just to reach it.",পৃথিবী থেকে আলোর গতিতে চলা একটি বেতার সংকেত ভয়েজার ১-এ পৌঁছাতেই ২৩ ঘণ্টার বেশি সময় লাগে।,
25,That means every single command NASA sends takes almost a full day to arrive.,"এর মানে হলো, নাসা থেকে পাঠানো প্রতিটি কমান্ড সেখানে পৌঁছাতে প্রায় পুরো একটা দিন লেগে যায়।",
26,"Its mass, temperature, and present orbit all point toward a turbulent past.","এর ভর, তাপমাত্রা এবং বর্তমান কক্ষপথ—সবকিছুই এক অশান্ত অতীতের ইঙ্গিত দেয়।",
27,The mystery deepens further because the planet appears to be more than seven times the mass of Jupiter while remaining similar in size. ,রহস্যটি আরও ঘনীভূত হয় আরেকটি কারণে। গ্রহটির আকার প্রায় বৃহস্পতি গ্রহের মতো হলেও এর ভর বৃহস্পতির সাত গুণেরও বেশি।,
28,the process where a planet or moon is repeatedly stretched and squeezed by the gravitational pull of a larger body,এ প্রক্রিয়ায় অন্য বড় বস্তুর প্রভাবে গ্রহ বা চাঁদ বারবার সংকুচিত ও প্রসারিত হতে থাকে। ,
29,the death of a star does not necessarily mark the end of its planets,,
30,"They had also learned a few new things along the way. The ori-
ginal spinfoam model developed by Barrett and Crane was found
to be in need of modification, leading to the introduction of a
new parameter. This is called the Immirzi or Barbero–Immirzi
parameter, usually given the symbol γ and named for Italian the-
orist Giorgio Immirzi and Spanish theorist Fernando Barbero.
We will meet this parameter again in our discussion of black hole
entropy in Chapter 15, so I won’t say too much about it here. The
parameter modifies the expression for the spectrum of area, and
so changes the size of the quantum of area somewhat.","এটা করতে গিয়ে তাঁরা শিখলেন আরও কিছু জিনিস। দেখা গেল, ব্যারেট ও ক্রেনের বানানো প্রাথমিক স্পিনফোম মডেলে পরবির্তন আনা প্রয়োজন। ফলে নিয়ে আসতে হলো নতুন আরেকটি প্যারামিটার।  এর নাম ইমিরজি বা বারবেরো-ইমিরজি প্যারামিটার। সাধারণত একে গামা (γ) চিহ্ন দিয়ে প্রকাশ করা হয়। ইতালীয় তাত্ত্বিক জিওরজিও ইমিরৎসি ও স্পেনের ফার্নান্দো বারবেরোর নামে এই নাম। ১৫শ অধ্যায়ে ব্ল্যাকহোল এনট্রপি আলোচনা করতে গিয়ে আমরা আবারও এ প্যারামিটার নিয়ে আলাপ করব। এই প্যারামিটার ক্ষেত্রফলের বর্ণালীর সূত্র পাল্টে দেয়। ফলে কোয়ান্টাম ক্ষেত্রফলের আকারও কিছুটা বদলে যায়।",
31,"the theorists had demonstrated the possibility
of doing particle physics in a theory without spacetime.","তাত্ত্বিকরা দেখিয়েছেন, স্থানকাল ছাড়াও কণাপদার্থ নিয়ে কাজ করা সম্ভব।",
32,He did not consider quantum mechanics to be ‘a problem',তাঁর কাছে কোয়ান্টাম মেকানিকসকে কোনো সমস্যা মনে হয়নি। ,
33,We’re perfectly at liberty to do this.,এটা করার পূর্ণ স্বাধীনতা আমাদের আছে। ,
34,"because we can build up a waveform from any set of
suitable components, provided we follow the rules and add the
components together in the right proportions.","এর কারণ হলো, যেকোনো এক গুচ্ছ উপযুক্ত উপাদান থেকে আমরা তরঙ্গচিত্র তৈরি করে নিতে পারি। শুধু দুটি শর্ত মেনে চলতে হবে। এক: সূত্র মেনে চলতে হবে। দুই: উপাদানগুলোকে সঠিক অনুপাতে যোগ করতে হবে। ",
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,,,
221,,,
222,,,
223,,,
224,,,
225,,,
226,,,
227,,,
228,,,
229,,,
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,,,
241,,,
242,,,
243,,,
244,,,
245,,,
246,,,
247,,,
248,,,
249,,,
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
